2010085,대도시권 광역교통 관리에 관한 특별법 일부개정법률안,민홍철,의원,2017-11-08,2017-11-09,국토교통위원회,2018-11-29,대안반영폐기
2010071,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,남인순,의원,2017-11-08,2017-11-09,법제사법위원회,2018-11-29,대안반영폐기
2009031,교육공무원법 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,대안반영폐기
2009030,고등교육법 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,대안반영폐기
2009023,직업교육훈련 촉진법 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,대안반영폐기
2009022,인문학 및 인문정신문화의 진흥에 관한 법률 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,수정가결
2009020,대학도서관진흥법 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,수정가결
2009019,특수외국어 교육 진흥에 관한 법률 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,수정가결
2009018,인성교육진흥법 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,수정가결
2009013,지방대학 및 지역균형인재 육성에 관한 법률 일부개정법률안,설훈,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,대안반영폐기
2008964,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안,권미혁,의원,2017-09-01,2017-09-04,교육위원회,2018-11-29,대안반영폐기
2008817,주차장법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,수정가결
2008815,사도법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,수정가결
2008758,물류시설의 개발 및 운영에 관한 법률 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,수정가결
2008756,도로법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,대안반영폐기
2008755,공항시설법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,수정가결
2008753,건축사법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,원안가결
2008752,건축법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,원안가결
2008751,개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안,정부,정부,2017-08-28,2017-08-29,국토교통위원회,2018-11-29,수정가결
2008680,학교안전사고 예방 및 보상에 관한 법률 일부개정법률안,박광온,의원,2017-08-25,2017-08-28,교육위원회,2018-11-29,대안반영폐기
2008656,학교보건법 일부개정법률안,유은혜,의원,2017-08-23,2017-08-24,교육위원회,2018-11-29,대안반영폐기
2008248,주택법 일부개정법률안,조정식,의원,2017-07-27,2017-07-28,국토교통위원회,2018-11-29,대안반영폐기
2007583,수도권정비계획법 일부개정법률안,이헌승,의원,2017-06-26,2017-06-27,국토교통위원회,2018-11-29,수정가결
2007390,주택법 일부개정법률안,심재권,의원,2017-06-14,2017-06-15,국토교통위원회,2018-11-29,대안반영폐기
2007332,공탁법 일부개정법률안,오신환,의원,2017-06-12,2017-06-13,법제사법위원회,2018-11-29,수정가결
2006655,주택법 일부개정법률안,문희상,의원,2017-04-07,2017-04-10,국토교통위원회,2018-11-29,대안반영폐기
2006428,초·중등교육법 일부개정법률안,김규환,의원,2017-03-28,2017-03-29,교육위원회,2018-11-29,수정가결
2005607,사립학교법 일부개정법률안,김광수,의원,2017-02-13,2017-02-14,교육위원회,2018-11-29,대안반영폐기
2005564,학교안전사고 예방 및 보상에 관한 법률 일부개정법률안,최연혜,의원,2017-02-10,2017-02-13,교육위원회,2018-11-29,대안반영폐기
2005562,평생교육법 일부개정법률안,최연혜,의원,2017-02-10,2017-02-13,교육위원회,2018-11-29,대안반영폐기
2005507,취업 후 학자금 상환 특별법 일부개정법률안,이명수,의원,2017-02-09,2017-02-10,교육위원회,2018-11-29,원안가결
2004978,형법 일부개정법률안,이태규,의원,2017-01-05,2017-01-06,법제사법위원회,2018-11-29,대안반영폐기
2004637,학원의 설립·운영 및 과외교습에 관한 법률 일부개정법률안,정부,정부,2016-12-27,2016-12-28,교육위원회,2018-11-29,대안반영폐기
2004636,평생교육법 일부개정법률안,정부,정부,2016-12-27,2016-12-28,교육위원회,2018-11-29,대안반영폐기
2004377,지방대학 및 지역균형인재 육성에 관한 법률 일부개정법률안,양승조,의원,2016-12-14,2016-12-15,교육위원회,2018-11-29,대안반영폐기
2003249,신행정수도 후속대책을 위한 연기·공주지역 행정중심복합도시 건설을 위한 특별법 일부개정법률안,함진규,의원,2016-11-03,2016-11-04,국토교통위원회,2018-11-29,수정가결
2002428,대도시권 광역교통 관리에 관한 특별법 일부개정법률안,박광온,의원,2016-09-23,2016-09-26,국토교통위원회,2018-11-29,대안반영폐기
2002289,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,진선미,의원,2016-09-12,2016-09-13,법제사법위원회,2018-11-29,대안반영폐기
2001755,도로법 일부개정법률안,전현희,의원,2016-08-23,2016-08-24,국토교통위원회,2018-11-29,대안반영폐기
2000388,특정범죄 가중처벌 등에 관한 법률 일부개정법률안,주광덕,의원,2016-06-21,2016-06-22,법제사법위원회,2018-11-29,대안반영폐기
2000082,학교보건법 일부개정법률안,설훈,의원,2016-06-02,2016-06-13,교육위원회,2018-11-29,대안반영폐기
2016753,휴회의 건,의장,의장,2018-11-23,,본회의,2018-11-23,원안가결
2016617,전기통신사업법 일부개정법률안대안,과학기술정보방송통신위원장,위원장,2018-11-15,,과학기술정보방송통신위원회,2018-11-23,원안가결
2016614,관광진흥법 일부개정법률안대안,문화체육관광위원장,위원장,2018-11-15,,문화체육관광위원회,2018-11-23,원안가결
2016609,게임산업진흥에 관한 법률 일부개정법률안대안,문화체육관광위원장,위원장,2018-11-14,,문화체육관광위원회,2018-11-23,원안가결
2016607,청소년 보호법 일부개정법률안대안,여성가족위원장,위원장,2018-11-14,,여성가족위원회,2018-11-23,원안가결
2016598,수입식품안전관리 특별법 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
2016597,식품위생법 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
2016596,마약류 관리에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
2016595,아동복지법 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
2016594,건강기능식품에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
2016593,소금산업 진흥법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2018-11-14,,농림축산식품해양수산위원회,2018-11-23,원안가결
2016592,식품·의약품분야 시험·검사 등에 관한 법률 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
2016591,어촌·어항법 일부개정법률안대안,농림축산식품해양수산위원장,위원장,2018-11-14,,농림축산식품해양수산위원회,2018-11-23,원안가결
2016590,혈액관리법 일부개정법률안대안,보건복지위원장,위원장,2018-11-14,,보건복지위원회,2018-11-23,원안가결
